GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AV2001
"G1302350","1890","Georgia","130","Pulaski","2350","Pulaski",6558
"G1302370","1890","Georgia","130","Putnam","2370","Putnam",3939
"G1302390","1890","Georgia","130","Quitman","2390","Quitman",1421
"G1302410","1890","Georgia","130","Rabun","2410","Rabun",5440
"G1302430","1890","Georgia","130","Randolph","2430","Randolph",5794
"G1302450","1890","Georgia","130","Richmond","2450","Richmond",22346
"G1302470","1890","Georgia","130","Rockdale","2470","Rockdale",4127
"G1302490","1890","Georgia","130","Schley","2490","Schley",2238
"G1302510","1890","Georgia","130","Screven","2510","Screven",6916
"G1302550","1890","Georgia","130","Spalding","2550","Spalding",5835
"G1302590","1890","Georgia","130","Stewart","2590","Stewart",4198
