GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A86001
"G1300890","1920","Georgia","130","DeKalb","0890","De Kalb",34148
"G1300910","1920","Georgia","130","Dodge","0910","Dodge",13523
"G1300930","1920","Georgia","130","Dooly","0930","Dooly",8241
"G1300950","1920","Georgia","130","Dougherty","0950","Dougherty",6692
"G1300970","1920","Georgia","130","Douglas","0970","Douglas",7526
"G1300990","1920","Georgia","130","Early","0990","Early",7889
"G1301010","1920","Georgia","130","Echols","1010","Echols",2267
"G1301030","1920","Georgia","130","Effingham","1030","Effingham",5975
"G1301050","1920","Georgia","130","Elbert","1050","Elbert",13178
"G1301070","1920","Georgia","130","Emanuel","1070","Emanuel",14911
"G1301090","1920","Georgia","130","Evans","1090","Evans",4123
"G1301110","1920","Georgia","130","Fannin","1110","Fannin",12015
"G1301130","1920","Georgia","130","Fayette","1130","Fayette",7243
"G1301150","1920","Georgia","130","Floyd","1150","Floyd",30599
"G1301170","1920","Georgia","130","Forsyth","1170","Forsyth",11725
"G1301190","1920","Georgia","130","Franklin","1190","Franklin",15496
"G1301210","1920","Georgia","130","Fulton","1210","Fulton",162354
"G1301230","1920","Georgia","130","Gilmer","1230","Gilmer",8368
"G1301250","1920","Georgia","130","Glascock","1250","Glascock",2991
"G1301270","1920","Georgia","130","Glynn","1270","Glynn",9511
"G1301290","1920","Georgia","130","Gordon","1290","Gordon",16422
"G1301310","1920","Georgia","130","Grady","1310","Grady",12952
"G1301330","1920","Georgia","130","Greene","1330","Greene",7771
"G1301350","1920","Georgia","130","Gwinnett","1350","Gwinnett",26094
"G1301370","1920","Georgia","130","Habersham","1370","Habersham",10115
"G1301390","1920","Georgia","130","Hall","1390","Hall",23329
"G1301410","1920","Georgia","130","Hancock","1410","Hancock",5136
"G1301430","1920","Georgia","130","Haralson","1430","Haralson",12418
"G1301450","1920","Georgia","130","Harris","1450","Harris",4564
"G1301470","1920","Georgia","130","Hart","1470","Hart",12320
"G1301490","1920","Georgia","130","Heard","1490","Heard",7756
"G1301510","1920","Georgia","130","Henry","1510","Henry",9981
"G1301530","1920","Georgia","130","Houston","1530","Houston",7455
"G1301550","1920","Georgia","130","Irwin","1550","Irwin",6950
