GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006
"G1302550","1860","Georgia","130","Spalding","2550","Spalding",4826,54,3819,0,,
"G1302590","1860","Georgia","130","Stewart","2590","Stewart",5534,4,7884,0,,
"G1302610","1860","Georgia","130","Sumter","2610","Sumter",4536,2,4890,0,,
"G1302630","1860","Georgia","130","Talbot","2630","Talbot",4994,19,8603,0,,
"G1302650","1860","Georgia","130","Taliaferro","2650","Taliaferro",1693,41,2849,0,,
"G1302670","1860","Georgia","130","Tattnall","2670","Tattnall",3191,4,1157,0,,
"G1302690","1860","Georgia","130","Taylor","2690","Taylor",3601,0,2397,0,,
"G1302710","1860","Georgia","130","Telfair","2710","Telfair",1877,0,836,0,,
"G1302730","1860","Georgia","130","Terrell","2730","Terrell",3343,1,2888,0,,
"G1302750","1860","Georgia","130","Thomas","2750","Thomas",4488,34,6244,0,,
"G1302810","1860","Georgia","130","Towns","2810","Towns",2346,5,108,0,,
"G1302850","1860","Georgia","130","Troup","2850","Troup",6223,37,10002,0,,
"G1302890","1860","Georgia","130","Twiggs","2890","Twiggs",2930,72,5318,0,,
"G1302910","1860","Georgia","130","Union","2910","Union",4295,2,116,0,,
"G1302930","1860","Georgia","130","Upson","2930","Upson",5015,7,4888,0,,
"G1302950","1860","Georgia","130","Walker","2950","Walker",8517,30,1535,0,,
"G1302970","1860","Georgia","130","Walton","2970","Walton",6447,6,4621,0,,
"G1302990","1860","Georgia","130","Ware","2990","Ware",1818,5,377,0,,
"G1303010","1860","Georgia","130","Warren","3010","Warren",4347,94,5379,0,,
"G1303030","1860","Georgia","130","Washington","3030","Washington",6143,23,6532,0,,
"G1303050","1860","Georgia","130","Wayne","3050","Wayne",1617,30,621,0,,
"G1303070","1860","Georgia","130","Webster","3070","Webster",2741,2,2287,0,,
"G1303110","1860","Georgia","130","White","3110","White",3041,11,263,0,,
"G1303130","1860","Georgia","130","Whitfield","3130","Whitfield",8314,1,1732,0,,
"G1303150","1860","Georgia","130","Wilcox","3150","Wilcox",1692,2,421,0,,
"G1303170","1860","Georgia","130","Wilkes","3170","Wilkes",3434,33,7953,0,,
"G1303190","1860","Georgia","130","Wilkinson","3190","Wilkinson",5472,17,3887,0,,
"G1303210","1860","Georgia","130","Worth","3210","Worth",2118,13,632,0,,
