GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G0801250","1900","Colorado","080","Yuma","1250","Yuma",1729
"G0809015","1900","Colorado","080","Southern Ute Indian Reservation","9015","Southern Ute Indian Reservation",
"G0900010","1900","Connecticut","090","Fairfield","0010","Fairfield",180839
"G0900030","1900","Connecticut","090","Hartford","0030","Hartford",192108
"G0900050","1900","Connecticut","090","Litchfield","0050","Litchfield",62647
"G0900070","1900","Connecticut","090","Middlesex","0070","Middlesex",41287
"G0900090","1900","Connecticut","090","New Haven","0090","New Haven",263863
"G0900110","1900","Connecticut","090","New London","0110","New London",80958
"G0900130","1900","Connecticut","090","Tolland","0130","Tolland",24425
"G0900150","1900","Connecticut","090","Windham","0150","Windham",46297
"G1000010","1900","Delaware","100","Kent","0010","Kent",25017
"G1000030","1900","Delaware","100","New Castle","0030","New Castle",93456
"G1000050","1900","Delaware","100","Sussex","0050","Sussex",35504
"G1200010","1900","Florida","120","Alachua","0010","Alachua",13279
"G1200030","1900","Florida","120","Baker","0030","Baker",3325
"G1200070","1900","Florida","120","Bradford","0070","Bradford",7568
"G1200090","1900","Florida","120","Brevard","0090","Brevard",4003
"G1200130","1900","Florida","120","Calhoun","0130","Calhoun",3092
"G1200170","1900","Florida","120","Citrus","0170","Citrus",2754
"G1200190","1900","Florida","120","Clay","0190","Clay",3803
"G1200230","1900","Florida","120","Columbia","0230","Columbia",7773
"G1200250","1900","Florida","120","Dade","0250","Dade",3548
"G1200270","1900","Florida","120","De Soto","0270","De Soto",7374
"G1200310","1900","Florida","120","Duval","0310","Duval",17276
"G1200330","1900","Florida","120","Escambia","0330","Escambia",16384
"G1200370","1900","Florida","120","Franklin","0370","Franklin",2648
"G1200390","1900","Florida","120","Gadsden","0390","Gadsden",5438
"G1200470","1900","Florida","120","Hamilton","0470","Hamilton",6505
"G1200530","1900","Florida","120","Hernando","0530","Hernando",1823
"G1200570","1900","Florida","120","Hillsborough","0570","Hillsborough",27528
"G1200590","1900","Florida","120","Holmes","0590","Holmes",6481
"G1200630","1900","Florida","120","Jackson","0630","Jackson",11087
"G1200650","1900","Florida","120","Jefferson","0650","Jefferson",3575
"G1200670","1900","Florida","120","Lafayette","0670","Lafayette",4224
"G1200690","1900","Florida","120","Lake","0690","Lake",4829
"G1200710","1900","Florida","120","Lee","0710","Lee",2737
"G1200730","1900","Florida","120","Leon","0730","Leon",3886
"G1200750","1900","Florida","120","Levy","0750","Levy",5321
"G1200770","1900","Florida","120","Liberty","0770","Liberty",1459
"G1200790","1900","Florida","120","Madison","0790","Madison",6542
"G1200810","1900","Florida","120","Manatee","0810","Manatee",4205
"G1200830","1900","Florida","120","Marion","0830","Marion",9356
"G1200870","1900","Florida","120","Monroe","0870","Monroe",12192
"G1200890","1900","Florida","120","Nassau","0890","Nassau",4559
"G1200950","1900","Florida","120","Orange","0950","Orange",7347
"G1200970","1900","Florida","120","Osceola","0970","Osceola",3013
"G1201010","1900","Florida","120","Pasco","1010","Pasco",4375
"G1201050","1900","Florida","120","Polk","1050","Polk",9523
"G1201070","1900","Florida","120","Putnam","1070","Putnam",6017
"G1201090","1900","Florida","120","St Johns","1090","St Johns",5540
"G1201130","1900","Florida","120","Santa Rosa","1130","Santa Rosa",7827
"G1201190","1900","Florida","120","Sumter","1190","Sumter",3907
"G1201210","1900","Florida","120","Suwannee","1210","Suwannee",7977
"G1201230","1900","Florida","120","Taylor","1230","Taylor",3561
"G1201270","1900","Florida","120","Volusia","1270","Volusia",6538
"G1201290","1900","Florida","120","Wakulla","1290","Wakulla",2359
"G1201310","1900","Florida","120","Walton","1310","Walton",7307
"G1201330","1900","Florida","120","Washington","1330","Washington",7468
"G1300010","1900","Georgia","130","Appling","0010","Appling",8823
"G1300070","1900","Georgia","130","Baker","0070","Baker",1934
"G1300090","1900","Georgia","130","Baldwin","0090","Baldwin",6511
"G1300110","1900","Georgia","130","Banks","0110","Banks",8448
"G1300150","1900","Georgia","130","Bartow","0150","Bartow",14635
"G1300190","1900","Georgia","130","Berrien","0190","Berrien",13494
"G1300210","1900","Georgia","130","Bibb","0210","Bibb",23078
"G1300270","1900","Georgia","130","Brooks","0270","Brooks",7702
"G1300290","1900","Georgia","130","Bryan","0290","Bryan",2969
"G1300310","1900","Georgia","130","Bulloch","0310","Bulloch",12213
"G1300330","1900","Georgia","130","Burke","0330","Burke",5522
"G1300350","1900","Georgia","130","Butts","0350","Butts",5998
"G1300370","1900","Georgia","130","Calhoun","0370","Calhoun",2399
"G1300390","1900","Georgia","130","Camden","0390","Camden",2423
"G1300395","1900","Georgia","130","Campbell","0395","Campbell",6350
"G1300450","1900","Georgia","130","Carroll","0450","Carroll",21539
"G1300470","1900","Georgia","130","Catoosa","0470","Catoosa",5341
"G1300490","1900","Georgia","130","Charlton","0490","Charlton",2849
"G1300510","1900","Georgia","130","Chatham","0510","Chatham",29930
"G1300530","1900","Georgia","130","Chattahoochee","0530","Chattahoochee",1852
"G1300550","1900","Georgia","130","Chattooga","0550","Chattooga",10714
"G1300570","1900","Georgia","130","Cherokee","0570","Cherokee",13958
"G1300590","1900","Georgia","130","Clarke","0590","Clarke",8230
"G1300610","1900","Georgia","130","Clay","0610","Clay",2865
"G1300630","1900","Georgia","130","Clayton","0630","Clayton",5572
"G1300650","1900","Georgia","130","Clinch","0650","Clinch",5142
"G1300670","1900","Georgia","130","Cobb","0670","Cobb",17334
"G1300690","1900","Georgia","130","Coffee","0690","Coffee",9558
"G1300710","1900","Georgia","130","Colquitt","0710","Colquitt",10034
"G1300730","1900","Georgia","130","Columbia","0730","Columbia",2900
"G1300770","1900","Georgia","130","Coweta","0770","Coweta",10759
"G1300790","1900","Georgia","130","Crawford","0790","Crawford",4550
"G1300830","1900","Georgia","130","Dade","0830","Dade",4140
"G1300850","1900","Georgia","130","Dawson","0850","Dawson",5271
"G1300870","1900","Georgia","130","Decatur","0870","Decatur",13676
"G1300890","1900","Georgia","130","DeKalb","0890","De Kalb",14068
"G1300910","1900","Georgia","130","Dodge","0910","Dodge",8270
"G1300930","1900","Georgia","130","Dooly","0930","Dooly",11883
"G1300950","1900","Georgia","130","Dougherty","0950","Dougherty",2451
"G1300970","1900","Georgia","130","Douglas","0970","Douglas",6590
"G1300990","1900","Georgia","130","Early","0990","Early",5863
"G1301010","1900","Georgia","130","Echols","1010","Echols",2218
"G1301030","1900","Georgia","130","Effingham","1030","Effingham",4630
"G1301050","1900","Georgia","130","Elbert","1050","Elbert",9936
"G1301070","1900","Georgia","130","Emanuel","1070","Emanuel",12873
"G1301110","1900","Georgia","130","Fannin","1110","Fannin",10918
"G1301130","1900","Georgia","130","Fayette","1130","Fayette",6553
"G1301150","1900","Georgia","130","Floyd","1150","Floyd",21633
"G1301170","1900","Georgia","130","Forsyth","1170","Forsyth",10467
"G1301190","1900","Georgia","130","Franklin","1190","Franklin",13496
"G1301210","1900","Georgia","130","Fulton","1210","Fulton",71776
"G1301230","1900","Georgia","130","Gilmer","1230","Gilmer",10121
"G1301250","1900","Georgia","130","Glascock","1250","Glascock",3001
"G1301270","1900","Georgia","130","Glynn","1270","Glynn",5200
"G1301290","1900","Georgia","130","Gordon","1290","Gordon",12488
"G1301330","1900","Georgia","130","Greene","1330","Greene",5325
"G1301350","1900","Georgia","130","Gwinnett","1350","Gwinnett",21442
"G1301370","1900","Georgia","130","Habersham","1370","Habersham",11812
"G1301390","1900","Georgia","130","Hall","1390","Hall",17480
