GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A3Y001,A3Y002
"G1200890","1910","Florida","120","Nassau","0890","Nassau",10525,9654
"G1200950","1910","Florida","120","Orange","0950","Orange",19107,11374
"G1200970","1910","Florida","120","Osceola","0970","Osceola",5507,3444
"G1200990","1910","Florida","120","Palm Beach","0990","Palm Beach",5577,
"G1201010","1910","Florida","120","Pasco","1010","Pasco",7502,6054
"G1201050","1910","Florida","120","Polk","1050","Polk",24148,12472
"G1201070","1910","Florida","120","Putnam","1070","Putnam",13096,11641
"G1201090","1910","Florida","120","St Johns","1090","St Johns",13208,9165
"G1201110","1910","Florida","120","St Lucie","1110","St Lucie",4075,1831
"G1201130","1910","Florida","120","Santa Rosa","1130","Santa Rosa",14897,10293
"G1201190","1910","Florida","120","Sumter","1190","Sumter",6696,6187
"G1201210","1910","Florida","120","Suwannee","1210","Suwannee",18603,14554
"G1201230","1910","Florida","120","Taylor","1230","Taylor",7103,3999
"G1201270","1910","Florida","120","Volusia","1270","Volusia",16510,10003
"G1201290","1910","Florida","120","Wakulla","1290","Wakulla",4802,5149
"G1201310","1910","Florida","120","Walton","1310","Walton",16460,9346
"G1201330","1910","Florida","120","Washington","1330","Washington",16403,10154
"G1300010","1910","Georgia","130","Appling","0010","Appling",12318,
"G1300070","1910","Georgia","130","Baker","0070","Baker",7973,6704
"G1300090","1910","Georgia","130","Baldwin","0090","Baldwin",18354,17768
"G1300110","1910","Georgia","130","Banks","0110","Banks",11244,10545
"G1300150","1910","Georgia","130","Bartow","0150","Bartow",25388,20823
"G1300170","1910","Georgia","130","Ben Hill","0170","Ben Hill",11863,
"G1300190","1910","Georgia","130","Berrien","0190","Berrien",22772,
"G1300210","1910","Georgia","130","Bibb","0210","Bibb",56646,50473
"G1300270","1910","Georgia","130","Brooks","0270","Brooks",23832,18606
"G1300290","1910","Georgia","130","Bryan","0290","Bryan",6702,6122
"G1300310","1910","Georgia","130","Bulloch","0310","Bulloch",26464,
"G1300330","1910","Georgia","130","Burke","0330","Burke",27268,
"G1300350","1910","Georgia","130","Butts","0350","Butts",13624,12805
"G1300370","1910","Georgia","130","Calhoun","0370","Calhoun",11334,9274
"G1300390","1910","Georgia","130","Camden","0390","Camden",7690,7669
"G1300395","1910","Georgia","130","Campbell","0395","Campbell",10874,9518
"G1300450","1910","Georgia","130","Carroll","0450","Carroll",30855,26576
"G1300470","1910","Georgia","130","Catoosa","0470","Catoosa",7184,5823
"G1300490","1910","Georgia","130","Charlton","0490","Charlton",4722,3592
"G1300510","1910","Georgia","130","Chatham","0510","Chatham",79690,71239
"G1300530","1910","Georgia","130","Chattahoochee","0530","Chattahoochee",5586,5790
"G1300550","1910","Georgia","130","Chattooga","0550","Chattooga",13608,12952
"G1300570","1910","Georgia","130","Cherokee","0570","Cherokee",16661,15243
"G1300590","1910","Georgia","130","Clarke","0590","Clarke",23273,17708
"G1300610","1910","Georgia","130","Clay","0610","Clay",8960,8568
"G1300630","1910","Georgia","130","Clayton","0630","Clayton",10453,9598
"G1300650","1910","Georgia","130","Clinch","0650","Clinch",8424,8732
"G1300670","1910","Georgia","130","Cobb","0670","Cobb",28397,24664
"G1300690","1910","Georgia","130","Coffee","0690","Coffee",21953,
"G1300710","1910","Georgia","130","Colquitt","0710","Colquitt",19789,13636
"G1300730","1910","Georgia","130","Columbia","0730","Columbia",12328,10653
"G1300770","1910","Georgia","130","Coweta","0770","Coweta",28800,24980
"G1300790","1910","Georgia","130","Crawford","0790","Crawford",8310,10368
"G1300810","1910","Georgia","130","Crisp","0810","Crisp",16423,
"G1300830","1910","Georgia","130","Dade","0830","Dade",4139,4578
"G1300850","1910","Georgia","130","Dawson","0850","Dawson",4686,5442
"G1300870","1910","Georgia","130","Decatur","0870","Decatur",29045,
"G1300890","1910","Georgia","130","DeKalb","0890","De Kalb",27881,21112
"G1300910","1910","Georgia","130","Dodge","0910","Dodge",20127,13975
"G1300930","1910","Georgia","130","Dooly","0930","Dooly",20554,
"G1300950","1910","Georgia","130","Dougherty","0950","Dougherty",16035,13679
"G1300970","1910","Georgia","130","Douglas","0970","Douglas",8953,8745
"G1300990","1910","Georgia","130","Early","0990","Early",18122,14828
"G1301010","1910","Georgia","130","Echols","1010","Echols",3309,3209
"G1301030","1910","Georgia","130","Effingham","1030","Effingham",9971,8334
"G1301050","1910","Georgia","130","Elbert","1050","Elbert",24125,19729
"G1301070","1910","Georgia","130","Emanuel","1070","Emanuel",25140,
"G1301110","1910","Georgia","130","Fannin","1110","Fannin",12574,11214
"G1301130","1910","Georgia","130","Fayette","1130","Fayette",10966,10114
"G1301150","1910","Georgia","130","Floyd","1150","Floyd",36736,33113
"G1301170","1910","Georgia","130","Forsyth","1170","Forsyth",11940,11550
"G1301190","1910","Georgia","130","Franklin","1190","Franklin",17894,
